iter	Passed	Remaining
0	114	114834
1	116	58029
2	117	38917
3	118	29420
4	118	23644
5	119	19788
6	120	17066
7	121	15016
8	121	13411
9	122	12127
10	123	11095
11	124	10217
12	124	9477
13	125	8827
14	125	8260
15	126	7768
16	126	7332
17	127	6945
18	127	6604
19	128	6310
20	129	6044
21	130	5802
22	131	5572
23	131	5362
24	132	5171
25	133	4993
26	133	4828
27	134	4677
28	135	4545
29	136	4411
30	137	4288
31	137	4171
32	138	4065
33	139	3964
34	140	3871
35	141	3780
36	141	3688
37	142	3602
38	142	3517
39	143	3436
40	143	3360
41	144	3289
42	144	3221
43	145	3155
44	145	3091
45	146	3033
46	146	2978
47	147	2925
48	148	2873
49	148	2822
50	149	2772
51	149	2724
52	149	2678
53	150	2634
54	150	2592
55	151	2551
56	151	2511
57	152	2480
58	153	2450
59	154	2415
60	154	2380
61	155	2347
62	155	2314
63	156	2282
64	156	2251
65	157	2222
66	157	2193
67	157	2164
68	158	2140
69	159	2114
70	159	2089
71	160	2064
72	160	2040
73	161	2019
74	161	1997
75	162	1975
76	163	1954
77	163	1933
78	164	1912
79	164	1893
80	165	1874
81	165	1855
82	166	1835
83	166	1817
84	167	1799
85	167	1782
86	168	1765
87	168	1747
88	169	1731
89	169	1715
90	170	1699
91	170	1684
92	171	1669
93	171	1655
94	172	1640
95	172	1626
96	173	1612
97	173	1598
98	174	1585
99	175	1575
100	175	1564
101	176	1552
102	177	1542
103	177	1532
104	178	1521
105	179	1511
106	179	1500
107	180	1490
108	181	1481
109	181	1471
110	182	1463
111	183	1453
112	184	1446
113	184	1437
114	185	1429
115	186	1421
116	187	1412
117	187	1404
118	188	1396
119	189	1388
120	190	1380
121	190	1371
122	191	1364
123	192	1357
124	192	1350
125	193	1343
126	194	1335
127	195	1329
128	195	1321
129	196	1313
130	196	1305
131	197	1298
132	197	1290
133	198	1283
134	199	1276
135	199	1268
136	200	1262
137	201	1255
138	201	1248
139	202	1241
140	202	1235
141	203	1227
142	203	1221
143	204	1215
144	205	1209
145	205	1203
146	206	1197
147	206	1191
148	207	1185
149	207	1178
150	208	1172
151	209	1166
152	209	1160
153	210	1155
154	210	1149
155	211	1143
156	211	1137
157	212	1131
158	212	1125
159	213	1119
160	213	1113
161	214	1107
162	214	1101
163	215	1096
164	215	1090
165	216	1085
166	216	1080
167	217	1076
168	217	1070
169	218	1065
170	218	1060
171	219	1055
172	219	1050
173	220	1045
174	220	1040
175	221	1035
176	221	1030
177	222	1026
178	222	1022
179	223	1017
180	224	1013
181	224	1009
182	224	1004
183	225	999
184	225	995
185	226	990
186	226	986
187	227	981
188	227	977
189	228	974
190	229	970
191	229	966
192	230	962
193	230	957
194	231	953
195	231	949
196	231	945
197	232	941
198	232	937
199	233	933
200	233	929
201	234	925
202	235	922
203	235	919
204	236	915
205	236	911
206	236	907
207	237	904
208	237	900
209	238	897
210	238	893
211	239	889
212	239	886
213	240	882
214	240	879
215	241	876
216	242	873
217	242	869
218	242	866
219	243	863
220	243	860
221	244	856
222	244	853
223	245	850
224	245	846
225	246	843
226	246	841
227	247	838
228	248	834
229	248	831
230	248	828
231	249	825
232	249	822
233	250	819
234	250	816
235	251	813
236	251	810
237	252	807
238	252	804
239	253	802
240	253	799
241	254	797
242	255	794
243	255	792
244	256	789
245	256	787
246	257	785
247	258	783
248	259	781
249	259	779
250	260	776
251	260	774
252	261	771
253	261	768
254	262	766
255	262	763
256	263	760
257	263	758
258	264	755
259	264	752
260	264	750
261	265	747
262	265	745
263	266	743
264	267	741
265	267	738
266	268	736
267	268	734
268	269	731
269	269	729
270	270	727
271	270	724
272	271	722
273	271	720
274	272	718
275	273	716
276	273	714
277	274	712
278	274	710
279	275	708
280	276	706
281	276	704
282	277	702
283	277	700
284	278	698
285	279	696
286	279	694
287	280	692
288	280	691
289	281	689
290	282	687
291	282	685
292	283	683
293	283	681
294	284	679
295	285	677
296	285	676
297	286	674
298	287	673
299	287	671
300	288	669
301	288	667
302	289	665
303	289	663
304	290	662
305	291	660
306	291	658
307	292	656
308	292	654
309	293	653
310	294	651
311	294	649
312	295	647
313	295	646
314	296	644
315	297	643
316	297	641
317	298	640
318	299	638
319	299	636
320	300	635
321	300	633
322	301	631
323	302	630
324	302	628
325	303	626
326	303	625
327	304	623
328	305	622
329	305	620
330	306	618
331	306	617
332	307	615
333	307	614
334	308	612
335	309	610
336	309	609
337	310	607
338	310	606
339	311	604
340	311	602
341	312	601
342	313	599
343	313	597
344	314	596
345	314	594
346	315	593
347	315	591
348	316	590
349	317	588
350	317	587
351	318	585
352	318	584
353	319	582
354	319	581
355	320	579
356	321	578
357	321	577
358	322	575
359	323	574
360	323	573
361	324	571
362	324	570
363	325	568
364	326	567
365	326	566
366	327	564
367	328	563
368	328	562
369	329	560
370	329	559
371	330	558
372	331	556
373	331	555
374	332	554
375	332	552
376	333	551
377	334	549
378	334	548
379	335	546
380	335	545
381	336	544
382	337	543
383	337	541
384	338	540
385	338	538
386	339	537
387	339	535
388	340	534
389	340	533
390	341	531
391	342	530
392	342	529
393	343	527
394	343	526
395	344	525
396	344	523
397	345	522
398	345	520
399	346	519
400	346	518
401	347	516
402	348	515
403	348	514
404	349	513
405	349	511
406	350	510
407	350	509
408	351	507
409	351	506
410	352	504
411	352	503
412	353	502
413	353	501
414	354	499
415	355	498
416	355	497
417	356	496
418	356	494
419	357	493
420	357	492
421	358	491
422	359	489
423	359	488
424	360	487
425	360	486
426	361	485
427	362	484
428	362	482
429	363	481
430	363	480
